,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
0,A. Morin,Kpime,2015,70.0,France,55.0,Blend,Togo,96250.0
1,A. Morin,Atsane,2015,70.0,France,60.0,Blend,Togo,105000.0
2,A. Morin,Akata,2015,70.0,France,70.0,Blend,Togo,122500.0
3,A. Morin,Quilla,2015,70.0,France,70.0,Blend,Peru,122500.0
4,A. Morin,Carenero,2014,70.0,France,55.0,Criollo,Venezuela,96250.0
5,A. Morin,Cuba,2014,70.0,France,70.0,Blend,Cuba,122500.0
6,A. Morin,Sur del Lago,2014,70.0,France,70.0,Criollo,Venezuela,122500.0
7,A. Morin,Puerto Cabello,2014,70.0,France,75.0,Criollo,Venezuela,131250.0
8,A. Morin,Pablino,2014,70.0,France,80.0,Blend,Peru,140000.0
9,A. Morin,Panama,2013,70.0,France,55.0,Blend,Panama,96250.0
10,A. Morin,Madagascar,2013,70.0,France,60.0,Criollo,Madagascar,105000.0
11,A. Morin,Brazil,2013,70.0,France,65.0,Blend,Brazil,113750.0
12,A. Morin,Equateur,2013,70.0,France,75.0,Blend,Ecuador,131250.0
13,A. Morin,Colombie,2013,70.0,France,55.0,Blend,Colombia,96250.0
14,A. Morin,Birmanie,2013,70.0,France,60.0,Blend,Burma,105000.0
15,A. Morin,Papua New Guinea,2013,70.0,France,65.0,Blend,Papua New Guinea,113750.0
16,A. Morin,Chuao,2013,70.0,France,80.0,Trinitario,Venezuela,154000.0
17,A. Morin,Piura,2013,70.0,France,65.0,Blend,Peru,113750.0
18,A. Morin,Chanchamayo Province,2013,70.0,France,70.0,Blend,Peru,122500.0
19,A. Morin,Bolivia,2012,70.0,France,70.0,Blend,Bolivia,122500.0
20,Acalli,"Chulucanas, El Platanal",2015,70.0,U.S.A.,75.0,Blend,Peru,131250.0
21,Acalli,"Tumbes, Norandino",2015,70.0,U.S.A.,75.0,Criollo,Peru,131250.0
22,Adi,"Vanua Levu, Toto-A",2011,80.0,Fiji,65.0,Trinitario,Fiji,143000.0
23,Adi,Vanua Levu,2011,88.0,Fiji,70.0,Trinitario,Fiji,169400.0
